"country","video_id","trending_date","publish_timestamp","title","channel_title","viewcount","likes","dislikes","comment_count","descript"
"MX","Pu0k4IYi7uY","2017-11-27","2017-11-27 02:18:32","Randall's Big INT Leads to Williams' TD Catch-'n-Run! | Can't-Miss Play | NFL Wk 12","NFL",81773,306,61,53,"Green Bay Packers running back Jamaal Williams takes a quick screen pass to the house against the Pittsburgh Steelers in Week 12 of the 2017 NFL Season.\n\nWatch full games with NFL Game Pass: https://www.nfl.com/gamepass?campaign=sp-nf-gd-ot-yt-3000342\n\nSign up for Fantasy Football! http://www.nfl.com/fantasyfootball\n\nSubscribe to NFL: http://j.mp/1L0bVBu\n\nThe NFL YouTube channel is your home for immediate in-game highlights from your favorite teams and players, full NFL games, behind the scenes access and more!\n\nCheck out our other channels:\nNFL Network http://www.youtube.com/nflnetwork\nNFL Films http://www.youtube.com/nflfilms\n\nFor all things NFL, visit the league's official website at http://www.nfl.com/\n\nWatch NFL Now: https://www.nfl.com/now\nListen to NFL podcasts: http://www.nfl.com/podcasts\nWatch the NFL network: http://nflnonline.nfl.com/\nDownload the NFL mobile app: https://www.nfl.com/apps\n2017 NFL Schedule: http://www.nfl.com/schedules\nBuy tickets to watch your favorite team:  http://www.nfl.com/tickets\nShop NFL: http://www.nflshop.com/source/bm-nflcom-Header-Shop-Tab\n\nLike us on Facebook: https://www.facebook.com/NFL\nFollow us on Twitter: https://twitter.com/NFL\nFollow us on Instagram: https://instagram.com/nfl/\nFind us on Snapchat"
"CA","TRZPLiLl9HY","2017-11-15","2017-11-13 05:45:26","Patriots vs. Broncos | NFL Week 10 Game Highlights","NFL",1012191,7769,362,1528,"The New England Patriots battle the Denver Broncos in Week 10 of the 2017 NFL Season.\n\nWatch full games with NFL Game Pass: https://www.nfl.com/gamepass?campaign=sp-nf-gd-ot-yt-3000342\n\nSign up for Fantasy Football! http://www.nfl.com/fantasyfootball\n\nSubscribe to NFL: http://j.mp/1L0bVBu\n\nThe NFL YouTube channel is your home for immediate in-game highlights from your favorite teams and players, full NFL games, behind the scenes access and more!\n\nCheck out our other channels:\nNFL Network http://www.youtube.com/nflnetwork\nNFL Films http://www.youtube.com/nflfilms\n\nFor all things NFL, visit the league's official website at http://www.nfl.com/\n\nWatch NFL Now: https://www.nfl.com/now\nListen to NFL podcasts: http://www.nfl.com/podcasts\nWatch the NFL network: http://nflnonline.nfl.com/\nDownload the NFL mobile app: https://www.nfl.com/apps\n2017 NFL Schedule: http://www.nfl.com/schedules\nBuy tickets to watch your favorite team:  http://www.nfl.com/tickets\nShop NFL: http://www.nflshop.com/source/bm-nflcom-Header-Shop-Tab\n\nLike us on Facebook: https://www.facebook.com/NFL\nFollow us on Twitter: https://twitter.com/NFL\nFollow us on Instagram: https://instagram.com/nfl/\nFind us on Snapchat"
"US","JbQ4MwDdxSU","2017-12-01","2017-11-28 05:02:37","Texans vs. Ravens | NFL Week 12 Game Highlights","NFL",620204,4774,268,1356,"The Houston Texans take on the Baltimore Ravens in Week 12 of the 2017 NFL Season.\n\nWatch full games with NFL Game Pass: https://www.nfl.com/gamepass?campaign=sp-nf-gd-ot-yt-3000342\n\nSign up for Fantasy Football! http://www.nfl.com/fantasyfootball\n\nSubscribe to NFL: http://j.mp/1L0bVBu\n\nThe NFL YouTube channel is your home for immediate in-game highlights from your favorite teams and players, full NFL games, behind the scenes access and more!\n\nCheck out our other channels:\nNFL Network http://www.youtube.com/nflnetwork\nNFL Films http://www.youtube.com/nflfilms\n\nFor all things NFL, visit the league's official website at http://www.nfl.com/\n\nWatch NFL Now: https://www.nfl.com/now\nListen to NFL podcasts: http://www.nfl.com/podcasts\nWatch the NFL network: http://nflnonline.nfl.com/\nDownload the NFL mobile app: https://www.nfl.com/apps\n2017 NFL Schedule: http://www.nfl.com/schedules\nBuy tickets to watch your favorite team:  http://www.nfl.com/tickets\nShop NFL: http://www.nflshop.com/source/bm-nflcom-Header-Shop-Tab\n\nLike us on Facebook: https://www.facebook.com/NFL\nFollow us on Twitter: https://twitter.com/NFL\nFollow us on Instagram: https://instagram.com/nfl/\nFind us on Snapchat"
"US","iM4lgtCFMGw","2018-01-09","2018-01-08 02:00:50","Panthers vs. Saints | NFL Wild Card Game Highlights","NFL",1124072,8909,323,4117,"The Carolina Panthers take on the New Orleans Saints during Wild Card Weekend of the 2017 NFL Postseason.\n\nWatch full games with NFL Game Pass: https://www.nfl.com/gamepass?campaign=sp-nf-gd-ot-yt-3000342\n\nSign up for Fantasy Football! http://www.nfl.com/fantasyfootball\n\nSubscribe to NFL: http://j.mp/1L0bVBu\n\nThe NFL YouTube channel is your home for immediate in-game highlights from your favorite teams and players, full NFL games, behind the scenes access and more!\n\nCheck out our other channels:\nNFL Network http://www.youtube.com/nflnetwork\nNFL Films http://www.youtube.com/nflfilms\n\nFor all things NFL, visit the league's official website at http://www.nfl.com/\n\nWatch NFL Now: https://www.nfl.com/now\nListen to NFL podcasts: http://www.nfl.com/podcasts\nWatch the NFL network: http://nflnonline.nfl.com/\nDownload the NFL mobile app: https://www.nfl.com/apps\n2017 NFL Schedule: http://www.nfl.com/schedules\nBuy tickets to watch your favorite team:  http://www.nfl.com/tickets\nShop NFL: http://www.nflshop.com/source/bm-nflcom-Header-Shop-Tab\n\nLike us on Facebook: https://www.facebook.com/NFL\nFollow us on Twitter: https://twitter.com/NFL\nFollow us on Instagram: https://instagram.com/nfl/\nFind us on Snapchat"
"DE","8WRuxhmUseY","2018-01-08","2018-01-07 05:13:40","Falcons vs. Rams | NFL Wild Card Game Highlights","NFL",1135251,7653,419,3850,"The Atlanta Falcons take on the Los Angeles Rams during Wild Card Weekend of the 2017 NFL Postseason.\n\nWatch full games with NFL Game Pass: https://www.nfl.com/gamepass?campaign=sp-nf-gd-ot-yt-3000342\n\nSign up for Fantasy Football! http://www.nfl.com/fantasyfootball\n\nSubscribe to NFL: http://j.mp/1L0bVBu\n\nThe NFL YouTube channel is your home for immediate in-game highlights from your favorite teams and players, full NFL games, behind the scenes access and more!\n\nCheck out our other channels:\nNFL Network http://www.youtube.com/nflnetwork\nNFL Films http://www.youtube.com/nflfilms\n\nFor all things NFL, visit the league's official website at http://www.nfl.com/\n\nWatch NFL Now: https://www.nfl.com/now\nListen to NFL podcasts: http://www.nfl.com/podcasts\nWatch the NFL network: http://nflnonline.nfl.com/\nDownload the NFL mobile app: https://www.nfl.com/apps\n2017 NFL Schedule: http://www.nfl.com/schedules\nBuy tickets to watch your favorite team:  http://www.nfl.com/tickets\nShop NFL: http://www.nflshop.com/source/bm-nflcom-Header-Shop-Tab\n\nLike us on Facebook: https://www.facebook.com/NFL\nFollow us on Twitter: https://twitter.com/NFL\nFollow us on Instagram: https://instagram.com/nfl/\nFind us on Snapchat"
"US","v9wbMzkVseE","2017-12-20","2017-12-18 00:59:18","Patriots vs. Steelers | NFL Week 15 Game Highlights","NFL",2336544,19462,4484,15699,"The New England Patriots take on the Pittsburgh Steelers in Week 15 of the 2017 NFL Season.\n\nWatch full games with NFL Game Pass: https://www.nfl.com/gamepass?campaign=sp-nf-gd-ot-yt-3000342\n\nSign up for Fantasy Football! http://www.nfl.com/fantasyfootball\n\nSubscribe to NFL: http://j.mp/1L0bVBu\n\nThe NFL YouTube channel is your home for immediate in-game highlights from your favorite teams and players, full NFL games, behind the scenes access and more!\n\nCheck out our other channels:\nNFL Network http://www.youtube.com/nflnetwork\nNFL Films http://www.youtube.com/nflfilms\n\nFor all things NFL, visit the league's official website at http://www.nfl.com/\n\nWatch NFL Now: https://www.nfl.com/now\nListen to NFL podcasts: http://www.nfl.com/podcasts\nWatch the NFL network: http://nflnonline.nfl.com/\nDownload the NFL mobile app: https://www.nfl.com/apps\n2017 NFL Schedule: http://www.nfl.com/schedules\nBuy tickets to watch your favorite team:  http://www.nfl.com/tickets\nShop NFL: http://www.nflshop.com/source/bm-nflcom-Header-Shop-Tab\n\nLike us on Facebook: https://www.facebook.com/NFL\nFollow us on Twitter: https://twitter.com/NFL\nFollow us on Instagram: https://instagram.com/nfl/\nFind us on Snapchat"
"US","wx-M8sxcOp8","2017-11-27","2017-11-20 04:57:26","Eagles vs. Cowboys | NFL Week 11 Game Highlights","NFL",1462885,10301,751,4623,"The Philadelphia Eagles take on the Dallas Cowboys in Week 11 of the 2017 NFL Season.\n\nWatch full games with NFL Game Pass: https://www.nfl.com/gamepass?campaign=sp-nf-gd-ot-yt-3000342\n\nSign up for Fantasy Football! http://www.nfl.com/fantasyfootball\n\nSubscribe to NFL: http://j.mp/1L0bVBu\n\nThe NFL YouTube channel is your home for immediate in-game highlights from your favorite teams and players, full NFL games, behind the scenes access and more!\n\nCheck out our other channels:\nNFL Network http://www.youtube.com/nflnetwork\nNFL Films http://www.youtube.com/nflfilms\n\nFor all things NFL, visit the league's official website at http://www.nfl.com/\n\nWatch NFL Now: https://www.nfl.com/now\nListen to NFL podcasts: http://www.nfl.com/podcasts\nWatch the NFL network: http://nflnonline.nfl.com/\nDownload the NFL mobile app: https://www.nfl.com/apps\n2017 NFL Schedule: http://www.nfl.com/schedules\nBuy tickets to watch your favorite team:  http://www.nfl.com/tickets\nShop NFL: http://www.nflshop.com/source/bm-nflcom-Header-Shop-Tab\n\nLike us on Facebook: https://www.facebook.com/NFL\nFollow us on Twitter: https://twitter.com/NFL\nFollow us on Instagram: https://instagram.com/nfl/\nFind us on Snapchat"
"DE","kcSmQef9-xE","2017-12-12","2017-12-11 05:41:53","Ravens vs. Steelers | NFL Week 14 Game Highlights","NFL",1146663,10128,463,3230,"The Baltimore Ravens take on the Pittsburgh Steelers in Week 14 of the 2017 NFL Season.\n\nHave Your Say! Vote now for the 2018 Pro Bowl in Orlando: http://www.nfl.com/probowl/ballot\n\nWatch full games with NFL Game Pass: https://www.nfl.com/gamepass?campaign=sp-nf-gd-ot-yt-3000342\n\nSign up for Fantasy Football! http://www.nfl.com/fantasyfootball\n\nSubscribe to NFL: http://j.mp/1L0bVBu\n\nThe NFL YouTube channel is your home for immediate in-game highlights from your favorite teams and players, full NFL games, behind the scenes access and more!\n\nCheck out our other channels:\nNFL Network http://www.youtube.com/nflnetwork\nNFL Films http://www.youtube.com/nflfilms\n\nFor all things NFL, visit the league's official website at http://www.nfl.com/\n\nWatch NFL Now: https://www.nfl.com/now\nListen to NFL podcasts: http://www.nfl.com/podcasts\nWatch the NFL network: http://nflnonline.nfl.com/\nDownload the NFL mobile app: https://www.nfl.com/apps\n2017 NFL Schedule: http://www.nfl.com/schedules\nBuy tickets to watch your favorite team:  http://www.nfl.com/tickets\nShop NFL: http://www.nflshop.com/source/bm-nflcom-Header-Shop-Tab\n\nLike us on Facebook: https://www.facebook.com/NFL\nFollow us on Twitter: https://twitter.com/NFL\nFollow us on Instagram: https://instagram.com/nfl/\nFind us on Snapchat"
"DE","FVxzk7t13HM","2017-11-19","2017-11-17 05:33:33","Titans vs. Steelers | NFL Week 11 Game Highlights","NFL",1114865,9570,393,2172,"The Tennessee Titans take on the Pittsburgh Steelers in Week 11 of the 2017 NFL Season.\n\nWatch full games with NFL Game Pass: https://www.nfl.com/gamepass?campaign=sp-nf-gd-ot-yt-3000342\n\nSign up for Fantasy Football! http://www.nfl.com/fantasyfootball\n\nSubscribe to NFL: http://j.mp/1L0bVBu\n\nThe NFL YouTube channel is your home for immediate in-game highlights from your favorite teams and players, full NFL games, behind the scenes access and more!\n\nCheck out our other channels:\nNFL Network http://www.youtube.com/nflnetwork\nNFL Films http://www.youtube.com/nflfilms\n\nFor all things NFL, visit the league's official website at http://www.nfl.com/\n\nWatch NFL Now: https://www.nfl.com/now\nListen to NFL podcasts: http://www.nfl.com/podcasts\nWatch the NFL network: http://nflnonline.nfl.com/\nDownload the NFL mobile app: https://www.nfl.com/apps\n2017 NFL Schedule: http://www.nfl.com/schedules\nBuy tickets to watch your favorite team:  http://www.nfl.com/tickets\nShop NFL: http://www.nflshop.com/source/bm-nflcom-Header-Shop-Tab\n\nLike us on Facebook: https://www.facebook.com/NFL\nFollow us on Twitter: https://twitter.com/NFL\nFollow us on Instagram: https://instagram.com/nfl/\nFind us on Snapchat"
"GB","T_AyI8I4O3U","2018-01-28","2018-01-18 19:00:02","Keenum to Diggs Provides the Miracle in Minneapolis (NFC Divisional Round) | NFL Turning Point","NFL Films",68288,1077,17,227,"Minnesota Vikings wide receiver Stefon Diggs helps the Vikings advance to the NFC Championship game on a walk-off 61-yard touchdown against the New Orleans Saints in the NFC Divisional game.\n\nSubscribe to NFL Films: http://goo.gl/XJTggL\n\nStart your free trial of NFL Game Pass: https://www.nfl.com/gamepass?campaign=sp-nf-gd-ot-yt-3000342\n\nCheck out our other channels:\nNFL Network http://www.youtube.com/nflnetwork\nNFL http://www.youtube.com/nfl\n\nWatch NFL Now: https://www.nfl.com/now\nListen to NFL podcasts: http://www.nfl.com/podcasts\nWatch the NFL network: http://nflnonline.nfl.com/\nDownload the NFL mobile app: https://www.nfl.com/apps\n2016 NFL Schedule: http://www.nfl.com/schedules\nBuy tickets to watch your favorite team:  http://www.nfl.com/tickets\nShop NFL: http://www.nflshop.com/source/bm-nflcom-Header-Shop-Tab\n\nLike us on Facebook: https://www.facebook.com/NFLFilms\nFollow us on Twitter: https://twitter.com/NFLFilms\nFollow us on Instagram: https://instagram.com/nflfilms/"
"US","lQkc0DcS7O4","2018-03-09","2018-03-03 20:06:38","Baker Mayfield & Josh Allen Put on a Show for Workouts! | NFL Combine Highlights","NFL",1108366,6294,275,1218,"Check out quarterback prospects Baker Mayfield and Josh Allen as they show their talents at the NFL Scouting Combine.\n\nWatch full games with NFL Game Pass: https://www.nfl.com/gamepass?campaign=sp-nf-gd-ot-yt-3000342\n\nSign up for Fantasy Football! http://www.nfl.com/fantasyfootball\n\nSubscribe to NFL: http://j.mp/1L0bVBu\n\nThe NFL YouTube channel is your home for immediate in-game highlights from your favorite teams and players, full NFL games, behind the scenes access and more!\n\nCheck out our other channels:\nNFL Network http://www.youtube.com/nflnetwork\nNFL Films http://www.youtube.com/nflfilms\n\nFor all things NFL, visit the league's official website at http://www.nfl.com/\n\nWatch NFL Now: https://www.nfl.com/now\nListen to NFL podcasts: http://www.nfl.com/podcasts\nWatch the NFL network: http://nflnonline.nfl.com/\nDownload the NFL mobile app: https://www.nfl.com/apps\n2017 NFL Schedule: http://www.nfl.com/schedules\nBuy tickets to watch your favorite team:  http://www.nfl.com/tickets\nShop NFL: http://www.nflshop.com/source/bm-nflcom-Header-Shop-Tab\n\nLike us on Facebook: https://www.facebook.com/NFL\nFollow us on Twitter: https://twitter.com/NFL\nFollow us on Instagram: https://instagram.com/nfl/\nFind us on Snapchat"
